dd,mm,zz,pp,departamento,municipio,puesto,mujeres,hombres,total,mesas,comuna,dirección,LATITUD,LONGITUD
01,1.0,9.0,04,ANTIOQUIA,MEDELLIN,I.E.SEBASTIAN DE BELALCAZAR,1654,1364,3018,1,05COMUNA 5 CASTILLA,CALLE 103EE  # 63D-185,6.298573304165523,-75.56547470445156
01,1.0,9.0,05,ANTIOQUIA,MEDELLIN,SEC ESC TRICENTENARIO,5039,4379,9418,3,05COMUNA 5 CASTILLA,CRA 63A No 94A-23,6.2922354285376825,-75.56456353875286
01,1.0,9.0,06,ANTIOQUIA,MEDELLIN,SEC ESC TOSCANA,1443,1228,2671,1,05COMUNA 5 CASTILLA,CLL 111G No 64A-16,6.306240332924746,-75.55934723893482
01,1.0,10.0,01,ANTIOQUIA,MEDELLIN,I.E. MARIA MONTESSORI,7584,5669,13253,4,05COMUNA 5 CASTILLA,KR 69A # 92C-87,6.286894792873198,-75.57501869741118
01,1.0,10.0,02,ANTIOQUIA,MEDELLIN,ITM CASTILLA,9151,8190,17341,5,05COMUNA 5 CASTILLA,CR 65 No 98 A - 75,6.2939136514009615,-75.56934224559662
01,1.0,10.0,03,ANTIOQUIA,MEDELLIN,I.E. DINAMARCA,3177,2873,6050,2,05COMUNA 5 CASTILLA,Calle 91 No 65-119,6.282564500783107,-75.57295212701423
01,1.0,10.0,04,ANTIOQUIA,MEDELLIN,I.E. REPUBLICA DE URUGUAY,6715,5499,12214,4,05COMUNA 5 CASTILLA,CL 91A No 70A-123,6.28378846218399,-75.57690270055616
01,1.0,10.0,05,ANTIOQUIA,MEDELLIN,IE FELIX DE BEDOUT MORENO,2299,1879,4178,2,05COMUNA 5 CASTILLA,CLL 108 No 70-39,6.306115903491768,-75.5694177578519
01,1.0,10.0,06,ANTIOQUIA,MEDELLIN,TERMINAL DE TRANSPORTES DEL NORTE,754,759,1513,1,05COMUNA 5 CASTILLA,CR 64 C No 78  580,6.278991985598805,-75.57134585247469
01,1.0,11.0,01,ANTIOQUIA,MEDELLIN,I.E. CIUDADELA LAS AMERICAS,6533,5261,11794,4,06COMUNA 6 DOCE DE OCTUBRE,CL 111 # 79-77,6.308662012363367,-75.57525814862197
01,1.0,11.0,02,ANTIOQUIA,MEDELLIN,I.E. PROGRESAR,4169,3365,7534,2,06COMUNA 6 DOCE DE OCTUBRE,KR 83A # 106 D 5,6.308670017614189,-75.58061193763224
01,1.0,11.0,03,ANTIOQUIA,MEDELLIN,SEC. ESC. LEON DE GREIFF,4083,2949,7032,2,06COMUNA 6 DOCE DE OCTUBRE,CL 101CC # 82E-72,6.302181313443422,-75.58072334627683
01,1.0,11.0,04,ANTIOQUIA,MEDELLIN,I.E. DOCE DE OCTUBRE,4178,2940,7118,2,06COMUNA 6 DOCE DE OCTUBRE,KR 77B # 103-05,6.302945989503544,-75.57689072203333
01,1.0,11.0,05,ANTIOQUIA,MEDELLIN,I.E. JOSE MARIA ESPINOSA PRIETO - CASD,1458,1326,2784,1,06COMUNA 6 DOCE DE OCTUBRE,CLL 99 No 72-192,6.296819331784327,-75.57520728575179
01,1.0,11.0,06,ANTIOQUIA,MEDELLIN,I.E. EL TRIUNFO SANTA TERESA,1766,1464,3230,1,06COMUNA 6 DOCE DE OCTUBRE,CL 104 D 82 GG 20,6.306604712938694,-75.58117992146725
01,1.0,11.0,07,ANTIOQUIA,MEDELLIN,I.E. SANTA JUANA DE LESTONNAC,4217,3683,7900,3,06COMUNA 6 DOCE DE OCTUBRE,CRA 76A No 103C-43,6.302522338970007,-75.5754075677719
01,1.0,11.0,08,ANTIOQUIA,MEDELLIN,I.E. JESUS MARIA VALLE,2394,2063,4457,2,06COMUNA 6 DOCE DE OCTUBRE,CLL 101 No 83-21,6.300548283503213,-75.58209515683546
01,1.0,12.0,01,ANTIOQUIA,MEDELLIN,I.E.MAESTRO FERNANDO BOTERO,5836,4631,10467,3,06COMUNA 6 DOCE DE OCTUBRE,CL 104 # 72A-80,6.301489964758263,-75.57202135899445
01,1.0,12.0,02,ANTIOQUIA,MEDELLIN,I.E.ALFREDO COCK ARANGO,5282,4328,9610,3,06COMUNA 6 DOCE DE OCTUBRE,KR 72 # 99-55,6.296449124083,-75.5734368827177
01,1.0,12.0,03,ANTIOQUIA,MEDELLIN,SEC.ESC.SAN MARTIN DE PORRES,3850,2824,6674,2,06COMUNA 6 DOCE DE OCTUBRE,KR 75A # 97-135,6.295917698037687,-75.57858343328168
01,1.0,12.0,04,ANTIOQUIA,MEDELLIN,I.E. KENNEDY,6438,4456,10894,3,06COMUNA 6 DOCE DE OCTUBRE,CRA 76A  No 92-200,6.290818503204494,-75.58157482175805
